Query Description,ProblemStatement,Closure Comment,InternalRCA
Unable to import tables in MDM,,Change required in cfconfig.ini to increases max table length.,
Rest service is not getting executing,,"Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required.","Ofserver logs are not attached and also L1 analysis is not done.Kindly raise a new ticket as a defect with proper logs and analysis.
Please, help us understand the issue by reporting the issue with proper data. For faster issue resolution, each of the CQRN should have the following information in detail:
1. Proper self-explanatory issue description.
2. Screenshots supporting the reported issue.
3. Relevant application and Module logs specifying the error.
4. Proper L1 analysis
5. Proper information related to Product and Hotfix that are deployed.
6. Proper contact information, so that person can be contacted if required."
Not able to save WI data,,"Mapping was incorrect, after correcting issue resolved","Mapping was incorrect, after correcting issue resolved"
Not able to Upload document with Double Space .,1. I am not able to upload document through ibps if it's name contain double space in its name. Though same was added from OD.,"As discussed, issue is related to webdesktop. Kindly raise new ticket in webdesktop module as on UAT environment.","As discussed, issue is related to webdesktop. Kindly raise new ticket in webdesktop module as on UAT environment."
Java Supported Version,"We already have a higher version of JDK 1.8.0_371 on our new servers. As per our compliance team it is out of support & has to be upgraded to the higher version.

Please check & come back on the actual highest supported JDK version which would be compatible with our current application version of IPBS4.0 SP1 & also lets us know the same for the latest IBPS version which we are planning to implement in prod. & Dr.
Environment Details :- Prod
IBPS 4.0 SP1 Patch 0
OD 10.1 SP1 Patch 2
JDK 1.8.0_232",Required Product Support matrix  document has been shared .Kindly follow the document.,Required Product Support matrix  document has been shared .Kindly follow the document.
WFSelectTest_new call is not working.,WFSelectTest_new call is not working not giving any response.,WFSelectTest_new  is your custom Api .Need to be check at your end.,WFSelectTest_new  is your custom Api .Need to be check at your end.
Webdesktop logs are not being created.,,As discussed in ibpssec we print the logs related to whitelisting not any custom queries and that logs are updated as per the product expectations.,As discussed in ibpssec we print the logs related to whitelisting not any custom queries and that logs is updating as product expectations.
Customer Planning to Upgrade JDK version.,"The VW customer planning to Upgrade the Jdk version to the latest version. Current JDK version is jdk 1.8.0_181 they are planning to upgrade to jdk 1.8.0_291. We need to know what the impact on Applications is. Is it possible to upgrade JDK at application level if yes, we need steps or documentation for the same. ibps version is 4.0 sp1 patch4.",Required Product Support matrix  document has been shared .Kindly follow the document.,Required Product Support matrix  document has been shared .Kindly follow the document.
WFSelectTest_new call is not working.,WFSelectTest_new call is not working not giving any response.,WFSelectTest_new   is your custom APi need to be check at your end .,WFSelectTest_new   is your custom APi need to be check at your end .
IBPS - Document attachment in Email Workstep,"To check the feasibility of attaching all the versions of the document under the same document type.Process name SME_CLOS,SIB_RLOS",Issue resolved after guiding client to uncheck the Latest Document check from the PFE in ofservices.,checked with server team for the same.
Slow processing of cases due to PS.,"We are facing slow processing of cases in production. we have taken restart of all the PS and entire application but still issue remains the same. we have also checked xml,error and console logs but could not found anything.",As discussed with reporter issue is resolved after reindexing.,As discussed with reporter issue is resolved after reindexing.
custom fonts not reflecting on form.,"custom fonts , not reflecting on forms","Reported issue,resolved by client at own.",
Facing error in the api 'WMGetUserList',,"Provided the updated jar, now working fine.","Provided the updated jar, now working fine."
All Workitem are being locked by 4640864F:1874C9BC,,"No logs are there and seems it is data specific issue, kindly monitor this case and raise a new ticket if face such issue again with proper L1/L2 analysis, along with relevant logs","No logs are there and seems it is data specific issue, kindly monitor this case and raise a new ticket if face such issue again with proper L1/L2 analysis, along with relevant logs"
